Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1U,
"C4, C5, C6",0805,3,0.1U,
"D1, D2",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B,
F1,Fuse_Bourns_MF-RG300,1,Polyfuse,
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
J4,PinHeader_1x05_P1.27mm_Vertical,1,Conn_01x05,
"J5, J6",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
PS1,Converter_ACDC_Hi-Link_HLK-5Mxx,1,HLK-5M05,
R1,0805,1,1K,
"R5, R6, R7",0805,3,10K,
"TP1, TP2, TP3",TestPoint_THTPad_D1.5mm_Drill0.7mm,3,TestPoint,
U1,cozir,1,COZIR,
U2,XDCR_BH1750FVI-TR,1,BH1750FVI-TR,
U3,PSON100P300X300X110-6N,1,AHT20,
U5,MODULE_ESP32-C6_SUPERMINI_TH,1,ESP32-C6_SUPERMINI_TH,
