Designator,Mid X,Mid Y,Rotation,Layer
C1,101.44,-113.06,0.0,top
C2,146.75,-96.0275,0.0,top
C4,144.05,-82.77,0.0,top
C5,147.24,-86.13,90.0,top
C6,102.91,-110.19,90.0,top
D1,116.22,-126.93,90.0,bottom
D2,101.59,-126.935,90.0,bottom
F1,104.82,-83.97,270.0,top
J2,105.89,-120.54,270.0,top
J3,111.06,-119.74,90.0,bottom
J4,145.8641,-80.2125,90.0,top
J5,123.66,-127.25,270.0,bottom
J6,108.83,-127.21,270.0,bottom
MK1,146.457,-98.7275,90.0,top
PS1,118.54,-90.69,0.0,top
R1,100.61,-115.82,90.0,top
R2,146.79,-101.3475,0.0,top
R3,143.07,-96.92,90.0,top
R4,143.05,-100.43,270.0,top
R5,101.3,-105.88,270.0,top
R6,139.3,-104.85,270.0,top
R7,141.63,-104.85,270.0,top
U1,122.77,-108.04,270.0,top
U2,100.69,-109.9175,270.0,top
U3,144.26,-86.11,180.0,top
U5,138.91,-116.09,180.0,bottom
