Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1U,
"C2, C3, C4, C5, C6",0805,5,0.1U,
"D1, D2, D3",LED_WS2812B-2020_PLCC4_2.0x2.0mm,3,WS2812B,
J1,Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal,1,Conn_01x08,
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
MK1,MIC_ICS-43434,1,ICS-43434,
PS1,Converter_ACDC_Hi-Link_HLK-5Mxx,1,HLK-5M05,
R1,0805,1,1K,
"R2, R3",0805,2,47K,
R4,0805,1,68,
"R5, R6, R7",0805,3,10K,
U1,cozir,1,COZIR,
U2,XDCR_BH1750FVI-TR,1,BH1750FVI-TR,
U3,PSON100P300X300X110-6N,1,AHT20,
U4,ld2450,1,LD2450,
U5,MODULE_ESP32-C6_SUPERMINI_TH,1,ESP32-C6_SUPERMINI_TH,
